prescribing_cost,date,prescribing_items,prescribing_quantity,organisation_code,organisation_name,year,month,cost_per_item
2237.91,2021-02-01,686,25488,00L,NHS NORTHUMBERLAND,2021,2,3.262259475218659
540.78,2021-02-01,168,6545,00N,NHS SOUTH TYNESIDE,2021,2,3.218928571428571
959.66,2021-02-01,317,13115,00P,NHS SUNDERLAND,2021,2,3.0273186119873814
698.42,2021-02-01,242,8727,00Q,NHS BLACKBURN WITH DARWEN,2021,2,2.8860330578512396
760.07,2021-02-01,263,8196,00R,NHS BLACKPOOL,2021,2,2.89
1527.03,2021-02-01,431,20713,00T,NHS BOLTON,2021,2,3.5429930394431555
810.03,2021-02-01,241,10296,00V,NHS BURY,2021,2,3.3611203319502074
663.04,2021-02-01,195,7541,00X,NHS CHORLEY AND SOUTH RIBBLE,2021,2,3.400205128205128
960.34,2021-02-01,325,15530,00Y,NHS OLDHAM,2021,2,2.9548923076923077
1262.71,2021-02-01,404,16095,01A,NHS EAST LANCASHIRE,2021,2,3.125519801980198
1025.32,2021-02-01,335,13752,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",2021,2,3.06065671641791
805.99,2021-02-01,269,12456,01E,NHS GREATER PRESTON,2021,2,2.996245353159851
483.88,2021-02-01,165,5512,01F,NHS HALTON,2021,2,2.9326060606060604
1338.64,2021-02-01,365,20007,01G,NHS SALFORD,2021,2,3.667506849315069
2067.93,2021-02-01,711,25309,01H,NHS NORTH CUMBRIA,2021,2,2.9084810126582274
511.47,2021-02-01,160,5333,01J,NHS KNOWSLEY,2021,2,3.1966875000000003
2231.86,2021-02-01,728,25535,01K,NHS MORECAMBE BAY,2021,2,3.0657417582417583
510.62,2021-02-01,171,5390,01T,NHS SOUTH SEFTON,2021,2,2.9860818713450294
522.12,2021-02-01,172,8723,01V,NHS SOUTHPORT AND FORMBY,2021,2,3.0355813953488373
1313.91,2021-02-01,409,19500,01W,NHS STOCKPORT,2021,2,3.2124938875305626
479.16,2021-02-01,166,5690,01X,NHS ST HELENS,2021,2,2.8865060240963856
456.67,2021-02-01,143,6471,01Y,NHS TAMESIDE AND GLOSSOP,2021,2,3.1934965034965037
1223.01,2021-02-01,381,21115,02A,NHS TRAFFORD,2021,2,3.21
784.56,2021-02-01,252,10231,02E,NHS WARRINGTON,2021,2,3.1133333333333333
313.76,2021-02-01,102,3887,02G,NHS WEST LANCASHIRE,2021,2,3.076078431372549
1595.92,2021-02-01,493,21524,02H,NHS WIGAN BOROUGH,2021,2,3.237160243407708
923.26,2021-02-01,305,11215,02M,NHS FYLDE AND WYRE,2021,2,3.027081967213115
1163.69,2021-02-01,368,13335,02P,NHS BARNSLEY,2021,2,3.162201086956522
389.09,2021-02-01,113,3599,02Q,NHS BASSETLAW,2021,2,3.4432743362831855
861.63,2021-02-01,278,10900,02T,NHS CALDERDALE,2021,2,3.099388489208633
928.12,2021-02-01,290,11397,02X,NHS DONCASTER,2021,2,3.2004137931034484
1291.89,2021-02-01,411,14292,02Y,NHS EAST RIDING OF YORKSHIRE,2021,2,3.143284671532847
1079.63,2021-02-01,363,13779,03F,NHS HULL,2021,2,2.974187327823692
670.86,2021-02-01,212,7457,03H,NHS NORTH EAST LINCOLNSHIRE,2021,2,3.164433962264151
900.94,2021-02-01,294,9699,03K,NHS NORTH LINCOLNSHIRE,2021,2,3.0644217687074833
1326.76,2021-02-01,411,16320,03L,NHS ROTHERHAM,2021,2,3.2281265206812653
3647.76,2021-02-01,1123,47599,03N,NHS SHEFFIELD,2021,2,3.2482279608192344
250.27,2021-02-01,82,3569,03Q,NHS VALE OF YORK,2021,2,3.0520731707317075
1564.97,2021-02-01,511,17337,03R,NHS WAKEFIELD,2021,2,3.062563600782779
2538.44,2021-02-01,825,30830,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,2021,2,3.07689696969697
2424.34,2021-02-01,764,32706,04C,NHS LEICESTER CITY,2021,2,3.1732198952879584
3322.21,2021-02-01,1077,40589,04V,NHS WEST LEICESTERSHIRE,2021,2,3.0846889507892294
700.32,2021-02-01,227,7871,04Y,NHS CANNOCK CHASE,2021,2,3.0851101321585905
846.08,2021-02-01,281,8508,05D,NHS EAST STAFFORDSHIRE,2021,2,3.010960854092527
1455.78,2021-02-01,488,18503,05G,NHS NORTH STAFFORDSHIRE,2021,2,2.983155737704918
949.29,2021-02-01,319,10439,05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA,2021,2,2.9758307210031347
988.54,2021-02-01,336,11078,05V,NHS STAFFORD AND SURROUNDS,2021,2,2.942083333333333
1041.34,2021-02-01,357,13021,05W,NHS STOKE ON TRENT,2021,2,2.9169187675070027
6907.39,2021-02-01,2085,85096,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,2021,2,3.312896882494005
3433.09,2021-02-01,1032,40359,06K,NHS EAST AND NORTH HERTFORDSHIRE,2021,2,3.326637596899225
1601.56,2021-02-01,521,17659,06L,NHS IPSWICH AND EAST SUFFOLK,2021,2,3.074011516314779
3413.53,2021-02-01,1048,43243,06N,NHS HERTS VALLEYS,2021,2,3.257185114503817
2200.24,2021-02-01,760,24479,06Q,NHS MID ESSEX,2021,2,2.895052631578947
2837.85,2021-02-01,915,33830,06T,NHS NORTH EAST ESSEX,2021,2,3.1014754098360653
847.79,2021-02-01,276,9780,07G,NHS THURROCK,2021,2,3.0717028985507246
2445.18,2021-02-01,774,25966,07H,NHS WEST ESSEX,2021,2,3.1591472868217054
1781.23,2021-02-01,574,18893,07K,NHS WEST SUFFOLK,2021,2,3.1031881533101044
1167.75,2021-02-01,391,12566,09D,NHS BRIGHTON AND HOVE,2021,2,2.9865728900255752
4297.94,2021-02-01,1340,50303,10Q,NHS OXFORDSHIRE,2021,2,3.2074179104477607
1103.43,2021-02-01,354,12280,10R,NHS PORTSMOUTH,2021,2,3.1170338983050847
3110.56,2021-02-01,1010,33449,11J,NHS DORSET,2021,2,3.079762376237624
